measure,sex,age_days,L,M,S
head_circ,female,0,1.0,341.3042,0.03055761
head_circ,female,7,1.0,344.652,0.02876645
head_circ,female,14,1.0,352.3,0.0325
head_circ,female,21,1.0,358.4,0.0323
head_circ,female,28,1.0,363.8,0.0322
head_circ,female,30,1.0,365.5,0.0321
head_circ,female,35,1.0,368.5,0.032
head_circ,female,42,1.0,372.7,0.0319
head_circ,female,49,1.0,376.6,0.0318
head_circ,female,56,1.0,380.2,0.0317
head_circ,female,61,1.0,382.5,0.0317
head_circ,female,63,1.0,383.5,0.0317
head_circ,female,70,1.0,386.7,0.0316
head_circ,female,77,1.0,389.7,0.0315
head_circ,female,84,1.0,392.5,0.0315
head_circ,female,91,1.0,395.3,0.0314
head_circ,female,122,1.0,405.8,0.0312
head_circ,female,152,1.0,414.6,0.031
head_circ,female,183,1.0,422.0,0.0309
head_circ,female,213,1.0,428.3,0.0308
head_circ,female,244,1.0,433.7,0.0306
head_circ,female,274,1.0,438.3,0.0305
head_circ,female,304,1.0,442.3,0.0304
head_circ,female,335,1.0,445.8,0.0304
head_circ,female,365,1.0,449.0,0.0303
head_circ,female,396,1.0,451.8,0.0302
head_circ,female,426,1.0,454.3,0.0301
head_circ,female,457,1.0,456.6,0.0301
head_circ,female,487,1.0,458.7,0.03
head_circ,female,517,1.0,460.6,0.0299
head_circ,female,548,1.0,462.4,0.0299
head_circ,female,578,1.0,464.2,0.0298
head_circ,female,609,1.0,465.8,0.0298
head_circ,female,639,1.0,467.4,0.0297
head_circ,female,670,1.0,468.9,0.0297
head_circ,female,700,1.0,470.4,0.0296
head_circ,female,730,1.0,471.8,0.0296
head_circ,male,0,1.0,349.1071,0.0332788
head_circ,male,7,1.0,353.8669,0.0314591
head_circ,male,14,1.0,358.6,0.0326
head_circ,male,21,1.0,365.2,0.032
head_circ,male,28,1.0,370.9,0.0315
head_circ,male,30,1.0,372.8,0.0313
head_circ,male,35,1.0,376.0,0.0311
head_circ,male,42,1.0,380.6,0.0307
head_circ,male,49,1.0,384.8,0.0304
head_circ,male,56,1.0,388.7,0.0301
head_circ,male,61,1.0,391.3,0.03
head_circ,male,63,1.0,392.4,0.0299
head_circ,male,70,1.0,395.8,0.0297
head_circ,male,77,1.0,399.0,0.0295
head_circ,male,84,1.0,402.1,0.0293
head_circ,male,91,1.0,405.1,0.0292
head_circ,male,122,1.0,416.3,0.0287
head_circ,male,152,1.0,425.6,0.0284
head_circ,male,183,1.0,433.3,0.0282
head_circ,male,213,1.0,439.8,0.028
head_circ,male,244,1.0,445.3,0.028
head_circ,male,274,1.0,450.0,0.0279
head_circ,male,304,1.0,454.1,0.0279
head_circ,male,335,1.0,457.6,0.0279
head_circ,male,365,1.0,460.7,0.0279
head_circ,male,396,1.0,463.4,0.0279
head_circ,male,426,1.0,465.8,0.0279
head_circ,male,457,1.0,468.1,0.0279
head_circ,male,487,1.0,470.1,0.028
head_circ,male,517,1.0,472.0,0.028
head_circ,male,548,1.0,473.7,0.028
head_circ,male,578,1.0,475.4,0.028
head_circ,male,609,1.0,476.9,0.0281
head_circ,male,639,1.0,478.4,0.0281
head_circ,male,670,1.0,479.8,0.0281
head_circ,male,700,1.0,481.2,0.0282
head_circ,male,730,1.0,482.5,0.0282
length,female,0,1.0,500.1719,0.0369674
length,female,7,1.0,506.2523,0.03608866
length,female,14,1.0,515.12,0.03694
length,female,21,1.0,524.695,0.03669
length,female,28,1.0,533.809,0.03647
length,female,30,1.0,536.872,0.0364
length,female,35,1.0,542.454,0.03627
length,female,42,1.0,550.642,0.03609
length,female,49,1.0,558.406,0.03593
length,female,56,1.0,565.767,0.03578
length,female,61,1.0,570.673,0.03568
length,female,63,1.0,572.761,0.03564
length,female,70,1.0,579.436,0.03552
length,female,77,1.0,585.816,0.0354
